id,question,source,choice1,choice2,choice3,choice4,answer
1,明治初期の文学思潮として正しいものはどれか,明治,無頼派,新感覚派,プロレタリア文学,擬古典主義,4
2,明治期の言文一致運動について誤っているものはどれか,明治,二葉亭四迷が推進,和歌改革が中心,話し言葉重視,小説文体変革,2
3,坪内逍遥の文学論として正しいものはどれか,明治,即興詩人,詩歌革新論,小説神髄,日本浪漫派宣言,3
4,明治期の硯友社について誤っているものはどれか,明治,写実主義重視,尾崎紅葉が中心,雅俗折衷体,近代恋愛描写,1
5,幸田露伴の文学的傾向として正しいものはどれか,明治,色彩美重視,自然主義,社会主義思想,理想主義,4
6,明治期の自然主義文学者として誤っているものはどれか,明治,田山花袋,島崎藤村,尾崎紅葉,徳田秋声,3
7,『破戒』について正しいものはどれか,明治,浪漫主義詩集,自然主義小説,明治末期戯曲,随筆作品,2
8,『小説神髄』が批判した従来の小説観として正しいものはどれか,明治,写実主義,自然主義,勧善懲悪主義,象徴主義,3
9,森鷗外の明治期文学に関する説明として誤っているものはどれか,明治,翻訳文学に貢献,自然主義全面肯定,知的構成重視,西洋思想導入,2
10,明治期の浪漫主義詩に強い影響を与えた外国文学として正しいものはどれか,明治,英仏ロマン派,ロシア写実主義,ドイツ自然主義,米国リアリズム,1
11,硯友社文学の文章的特徴として最も適切なものはどれか,明治,言文一致体,写生文体,口語自由詩,雅俗折衷体,4
12,明治期の評論活動について誤っているものはどれか,明治,文学批評が成立,詩歌批評は皆無,西洋理論の導入,小説理論が発展,2
13,明治期に文学の近代化を制度面から支えた動きとして正しいものはどれか,明治,講談復興運動,新聞小説の普及,歌舞伎改良運動,口承文芸重視,2
14,森鷗外が明治期に重視した文学姿勢として正しいものはどれか,明治,芸術の自律性,大衆娯楽性,告愛的内面暴露,階級闘争性,1
15,明治期における「言文一致」の到達点として最も適切な説明はどれか,明治,口語詩の成立,和歌改革の完成,評論文形式統一,小説文体の近代化,4
16,明治期の文学と国家との関係について誤っているものはどれか,明治,完全な表現自由,検閲制度が存在,思想統制の影響,教育制度との関係,1
17,北村透谷が主張した肉体を超越した精神の自由を尊ぶ概念は何か,明治,歌よみに与ふ,解体新書,内部生命論,小説神髄,3
18,国木田独歩が『武蔵野』において示した視点を何と呼ぶか,明治,写生の発見,風景の発見,遠近法の発見,内面の発見,2
19,明治10年代に自由民権運動の宣伝媒体として流行したジャンルはどれか,明治,写実小説,政治小説,社会小説,風俗小説,2
20,石川啄木が大逆事件に衝撃を受け文学の傍観者性を拒絶した評論は何か,明治,時代閉塞の現状,一握の砂,悲しき玩具,食ふべき詩,1
21,白樺派の思想的特徴として正しいものはどれか,大正,階級闘争重視,人道主義重視,耽美主義追求,虚無思想強調,2
22,大正期の耽美派作家として正しいものはどれか,大正,志賀直哉,島崎藤村,谷崎潤一郎,田山花袋,3
23,志賀直哉の大正期作品に共通する特徴として誤っているものはどれか,大正,簡潔な文体,社会革命の主張,内面倫理の追究,日常題材重視,2
24,大正期文学が明治文学から継承しなかった要素として誤っているものはどれか,大正,内面描写の重視,西洋思想受容,個人表現の追究,道徳的教訓性,4
25,有島武郎が主張した本能的な生命力と愛を肯定する思想はどれか,大正,人道主義,生長の哲学,理想主義,虚無主義,2
26,芥川龍之介が提唱した芸術的な再構成や技巧を重視する態度はどれか,大正,新現実主義,自然主義,耽美主義,シュルレアリスム,1
27,大正時代に隆盛した作家が自身の経験や内面を綴る日本特有の形式はどれか,大正,心境小説,私小説,散文詩,告白文学,2
28,萩原朔太郎『月に吠える』が詩史において画期的とされる理由は何か,大正,漢詩形式の復活,口語自由詩の芸術的完成,定型詩への回帰,象徴主義の否定,2
29,平塚らいてうが創刊した日本初の女性による思想雑誌はどれか,大正,女人芸術,青鞜,白樺,明星,2
30,芥川との論争において谷崎が主張したプロットの建築的面白さはどれか,大正,構造的興味,写生的リアリズム,象徴的空間,装飾美,1
31,昭和初期に階級闘争や労働者の現実を重視した文学思潮はどれか,昭和,新感覚派,プロレタリア文学,日本浪漫派,白樺派,2
32,1930年代に共産主義思想を放棄した作家がその苦悩を描いたジャンルはどれか,昭和,私小説,心境小説,転向文学,社会小説,3
33,坂口安吾が戦後「堕ちること」に人間の真実を見出した批評はどれか,昭和,日本文化私観,堕落論,青春論,白痴,2
34,安部公房が『砂の女』で描いた不条理に適応していく世界観はどれか,昭和,写実主義,実存主義・不条理文学,新感覚派,私小説,2
35,松本清張によって確立された社会の構造的悪を告発するジャンルはどれか,昭和,本格推理,変格ミステリー,社会派推理小説,私立探偵もの,3
36,1960年代末の政治の季節が去った後の喪失感を背景としたグループ名はどれか,昭和,戦後派,第三の新人,内向の世代,新感覚派,3
37,中上健次が「紀州連作」において物語装置とした空間はどこか,昭和,路地の神話,共同体の崩壊,血の論理,地方の発見,1
38,昭和50年代に村上春樹らの登場により台頭した記号的な思潮はどれか,昭和,ポストモダン文学,新・新人類の文学,ライト・ノベル,都市文学,1
39,小林秀雄が作品そのものを批評の対象とする姿勢を確立したことは何か,昭和,批評の自律,印象批評,社会学的批評,主観批評,1
40,三島由紀夫が『豊饒の海』で輪回転生を通じて描こうとした概念は何か,昭和,唯識,絶対美,天皇崇拝,滅びの美学,1
41,2004年に史上最年少で芥川賞を受賞した二人は誰か,平成,小川洋子・多和田葉子,綿矢りさ・金原ひとみ,青山七恵・村田沙耶香,本谷有希子・上田岳弘,2
42,多言語的なアプローチで知られる多和田葉子の震災後の作品はどれか,平成,献灯使,容疑者の夜行,雪の練習生,旅をする練習,1
43,多和田葉子が提唱した言語間を移動しながら創作する在り方は何か,平成,翻訳文学,二言語主義,エクソフォニー,比較文学,3
44,福島第一原発事故後の風景と個人の記憶を結びつけた柳美里の作品はどれか,平成,ゴールドラッシュ,命,JR上野駅公園口,家族シネマ,3
45,語り手が信頼できない等の「叙述の不確実性」を突き詰めた飛浩隆のジャンルはどれか,平成,SF（推敲文学）,本格推理,私小説,歴史小説,1
46,明治初期の文学思潮として正しいものはどれか,明治,無頼派,新感覚派,プロレタリア文学,擬古典主義,4
47,明治期の言文一致運動について誤っているものはどれか,明治,二葉亭四迷が推進,和歌改革が中心,話し言葉重視,小説文体変革,2
48,坪内逍遥の文学論として正しいものはどれか,明治,即興詩人,詩歌革新論,小説神髄,日本浪漫派宣言,3
49,明治期の硯友社について誤っているものはどれか,明治,写実主義重視,尾崎紅葉が中心,雅俗折衷体,近代恋愛描写,1
50,幸田露伴の文学的傾向として正しいものはどれか,明治,色彩美重視,自然主義,社会主義思想,理想主義,4
51,明治期の自然主義文学者として誤っているものはどれか,明治,田山花袋,島崎藤村,尾崎紅葉,徳田秋声,3
52,『破戒』について正しいものはどれか,明治,浪漫主義詩集,自然主義小説,明治末期戯曲,随筆作品,2
53,『小説神髄』が批判した従来の小説観として正しいものはどれか,明治,写実主義,自然主義,勧善懲悪主義,象徴主義,3
54,森鷗外の明治期文学に関する説明として誤っているものはどれか,明治,翻訳文学に貢献,自然主義全面肯定,知的構成重視,西洋思想導入,2
55,明治期の浪漫主義詩に強い影響を与えた外国文学として正しいものはどれか,明治,英仏ロマン派,ロシア写実主義,ドイツ自然主義,米国リアリズム,1
56,硯友社文学の文章的特徴として最も適切なものはどれか,明治,言文一致体,写生文体,口語自由詩,雅俗折衷体,4
57,明治期の評論活動について誤っているものはどれか,明治,文学批評が成立,詩歌批評は皆無,西洋理論の導入,小説理論が発展,2
58,明治期に文学の近代化を制度面から支えた動きとして正しいものはどれか,明治,講談復興運動,新聞小説の普及,歌舞伎改良運動,口承文芸重視,2
59,森鷗外が明治期に重視した文学姿勢として正しいものはどれか,明治,芸術の自律性,大衆娯楽性,告愛的内面暴露,階級闘争性,1
60,明治期における「言文一致」の到達点として最も適切な説明はどれか,明治,口語詩の成立,和歌改革の完成,評論文の形式統一,小説文体の近代化,4
61,明治期の文学と国家との関係について誤っているものはどれか,明治,完全な表現自由,検閲制度が存在,思想統制の影響,教育制度との関係,1
62,北村透谷が主張した「内部生命」の概念を論じた批評はどれか,明治,歌よみに与ふ,解体新書,内部生命論,小説神髄,3
63,国木田独歩が『武蔵野』において示した視点を何と呼ぶか,明治,写生の発見,風景の発見,遠近法の発見,内面の発見,2
